ㄅ	1	1	group 1: 21 symbols, 5 bits
ㄆ	2	2
ㄇ	3	3
ㄈ	4	4
ㄉ	5	5
ㄊ	6	6
ㄋ	7	7
ㄌ	8	8
ㄍ	9	9
ㄎ	10	10
ㄏ	11	11
ㄐ	12	12
ㄑ	13	13
ㄒ	14	14
ㄓ	15	15
ㄔ	16	16
ㄕ	17	17
ㄖ	18	18
ㄗ	19	19
ㄘ	20	20
ㄙ	21	21

ㄧ	22	1	group 2: 3 symbol, 2 bitss
ㄨ	23	2
ㄩ	24	3

ㄚ	25	1	group 3: 13 symbol, 4 bitss
ㄛ	26	2
ㄜ	27	3
ㄝ	28	4
ㄞ	29	5
ㄟ	30	6
ㄠ	31	7
ㄡ	32	8
ㄢ	33	9
ㄣ	34	10
ㄤ	35	11
ㄥ	36	12
ㄦ	37	13

一聲	38	0	group 4: 5 symbol, 3 bitss
二聲	39	2
三聲	40	3
四聲	41	4
輕聲	42	5
